,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
246,246,2.1505419999999997,41.388185,7,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
247,247,2.204108,41.407861,7,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0
248,248,2.185924,41.400585,9,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
249,249,2.171885,41.366019,9,11,2,1,1,1,0,0,0,0,0,0,0,0,1,0
250,250,2.162906,41.390878,9,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
251,251,2.183461,41.411849,11,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0
252,252,2.139719,41.400542,11,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
253,253,2.1874439999999997,41.415009999999995,13,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0
254,254,2.203262,41.415467,14,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0
255,255,2.143837,41.397196,15,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
256,256,2.127941,41.403541,15,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
257,257,2.129917,41.392509999999994,15,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
258,258,2.1243220000000003,41.388126,16,11,2,1,1,1,0,0,0,0,1,0,0,0,0,0
259,259,2.122736,41.407889000000004,16,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
260,260,2.167049,41.390415999999995,16,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
261,261,2.168404,41.391892,17,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
262,262,2.142547,41.368928000000004,17,11,2,1,1,1,0,0,0,0,0,0,0,0,1,0
263,263,2.134649,41.364176,17,11,2,1,1,1,0,0,0,0,0,0,0,0,1,0
264,264,2.131426,41.414127,17,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
265,265,2.1744220000000003,41.394038,18,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
266,266,2.159933,41.355195,18,11,2,1,1,1,0,0,0,0,0,0,0,0,1,0
267,267,2.1638349999999997,41.408629,18,11,2,1,1,1,0,0,1,0,0,0,0,0,0,0
268,268,2.185621,41.442541999999996,19,11,2,1,1,1,0,0,0,0,0,1,0,0,0,0
269,269,2.121429,41.39451500000001,19,11,2,1,1,1,0,0,0,0,0,0,0,0,0,1
270,270,2.165569,41.39547,19,11,2,1,1,1,0,1,0,0,0,0,0,0,0,0
271,271,2.129608,41.38717800000001,20,11,2,1,0,1,0,0,0,0,1,0,0,0,0,0
272,272,2.187504,41.420826,21,11,2,1,0,1,0,0,0,0,0,0,1,0,0,0
